82020,0
3203,0
51061,1
28605,0
90246,1
74923,0
2078,0
15877,0
89647,0
52921,1
117487,1
41687,0
53213,0
49490,0
84939,1
69837,0
70746,0
30944,1
38242,1
115987,0
101019,0
14735,0
52720,0
83196,0
64088,0
107860,1
101661,1
123412,0
55084,1
52782,1
90517,1
62394,0
125714,1
63241,0
45468,1
98203,1
6766,0
72057,0
106404,0
101035,1
111806,1
70741,1
84935,1
75592,0
77555,0
78357,0
103119,0
72287,0
100416,0
36206,1
58926,1
21122,1
95220,0
58603,0
81669,0
99023,1
59404,0
36817,1
95001,1
35824,1
1967,1
20612,0
63681,0
39045,1
14132,0
60446,1
76295,0
52076,0
9854,1
121770,0
29418,0
13349,1
65399,0
119844,1
106815,0
67265,0
80688,0
27218,0
55098,0
77346,0
101078,1
106927,0
56138,0
106401,1
95418,0
45320,1
14455,1
7927,0
109685,0
66855,0
58669,0
4319,1
628,0
123105,0
36038,1
120370,0
14830,1
46650,1
20715,1
122533,1
96100,1
76831,1
69841,0
54148,1
82,1
102661,0
3375,1
7412,0
124821,1
114789,0
45688,1
87283,1
81691,1
36532,1
96859,1
124663,0
31155,0
96344,1
85760,1
121483,0
121548,0
19528,1
14926,0
57139,1
96185,0
20954,1
31152,0
43996,0
121671,1
48474,1
47747,0
37329,1
116378,0
24918,0
115774,1
69199,0
71471,1
30382,1
34654,0
70655,1
25152,0
86696,1
20032,0
17602,1
40022,0
115298,0
8020,0
69737,1
82657,1
72946,0
37323,1
79122,0
33553,0
49169,0
46057,0
1336,0
38212,0
80645,0
21776,0
13455,0
72952,1
58255,1
53340,1
49163,1
116317,0
35784,1
35121,0
96019,0
73961,1
22188,0
52484,1
21804,0
38849,1
111045,1
67683,0
67713,1
37209,0
11844,1
77776,1
81843,1
33135,0
123893,0
24711,0
28399,1
56658,0
37392,0
73481,1
111707,1
7754,0
13911,0
93216,1
17837,1
43544,1
105657,0
23036,1
36885,1
8693,1
79382,1
90685,1
98245,1
124958,1
86109,0
45918,1
73026,1
3355,0
106957,1
79708,1
16299,0
105444,1
75227,0
62703,0
10037,0
106498,0
11360,0
98482,1
42272,1
78700,0
109434,1
111506,0
66119,1
18201,1
23281,1
111748,1
2296,1
93011,1
103241,0
124133,0
8151,1
12099,0
19536,0
106273,0
100704,1
89030,1
48683,0
71081,0
90390,0
88268,1
48992,0
92828,0
116894,1
124353,0
96435,0
32038,1
79351,0
7681,0
47123,1
122182,0
93874,0
15287,0
107270,1
16257,1
2815,0
68489,0
109966,0
103525,0
47843,1
67059,0
86325,1
100475,0
78633,0
52863,1
6210,0
6797,0
56467,1
23230,0
29324,1
22195,1
75733,0
43828,1
31427,1
34756,0
72046,0
66801,1
1198,1
14180,1
91125,0
106986,0
53738,1
16954,1
78149,0
124383,1
122619,1
94269,1
44688,1
73029,1
87994,1
40326,0
110818,0
125667,0
26253,0
61111,0
45749,1
87966,0
31694,1
47306,0
63186,0
66754,1
115923,1
101238,1
12878,0
34925,0
1922,1
73257,1
23381,0
18100,0
57402,1
